id_veiculo,placa,chassi,marca,modelo,ano_fabricacao,valor_fipe,linha_veiculo,processed_at
ef9ebebc14207a0777b1836f72ddb109,NOG2997,LNQDJ43BWTNUYAZAA,VOLKSWAGEN,13 150 2P (DIESEL),2000,55467,PESADOS,2026-02-13 03:18:38.576762 UTC
f7aac264498f7e6a902e63f2ddeb3a4a,NNF1597,B5TDH5HH90UBZY7EX,VOLKSWAGEN,16 170 BT 3 EIXOS 2P (DIESEL),1997,58532,PESADOS,2026-02-13 03:18:38.576762 UTC
d6b90693a94cb9d1fa574331aa1c4b61,ETD1835,8HJEDBESOCB7U7FPM,MERCEDES BENZ,1938 S 2P (DIESEL),2000,105374,PESADOS,2026-02-13 03:18:38.576762 UTC
9ab604d4e138a58595eb916f1ef3cb46,JPT9182,VU5LHGTZ5SI0F3TFB,VOLKSWAGEN,6 90 2P (DIESEL),1985,28257,PESADOS,2026-02-13 03:18:38.576762 UTC
ff330b01c84d505cf83571dd18d2f522,ECU9914,JA195GWLK6SKMLP94,MERCEDES BENZ,608 2P (DIESEL),1982,28014,PESADOS,2026-02-13 03:18:38.576762 UTC
f4b90efaaf1b368ff70219af2ec7494b,COB7779,DNQ0E87AFRD5O18LU,VOLKSWAGEN,8 140 2P (DIESEL),1995,70284,PESADOS,2026-02-13 03:18:38.576762 UTC
cc707421d796c154777600317de94dc2,EWM6214,75JFIZ98SXPL8R4BF,OUTROS,BESTA GS 2 7 8V 12L DIESEL,2000,22718,LEVES,2026-02-13 03:18:38.576762 UTC
d5ec05fbd52272274fa8bad9eb17f2d3,STV5328,UNWH8IRD4Y77OWNF6,CHEVROLET,CELTA 1 0/SUPER/N PIQ 1 0 MPFI VHC 8V 3P,2000,11714,LEVES,2026-02-13 03:18:38.576762 UTC
5b2fffd1506234218b67457bec9f2275,PEE8753,GE4Q1OBPYE3KAXPTX,HONDA,CIVIC SEDAN LX 1 7 16V 115CV MEC  4P,2001,20542,LEVES,2026-02-13 03:18:38.576762 UTC
e8f46f2e2969ddec2d198be736c15cb8,JSR6446,I6ESQ96AIJ4NMRUAD,CHEVROLET,CORSA WAGON GL 1 6 MPFI 4P,1997,11210,LEVES,2026-02-13 03:18:38.576762 UTC
90f25e7db31647adb571435ff9913a88,WFX9448,F34Q6APFJYIF8NZYS,FORD,F 1000 S  S  DIESEL / S S  DIESEL TURBO,1994,61175,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",2026-02-13 03:18:38.576762 UTC
7b0de282b9e50c24932f3e7c59263465,GTO2904,CAFGUSB94FR1P1PIW,VOLKSWAGEN,F 1000 SUPER DIESEL / SUPER DIESEL TURBO,1985,45053,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",2026-02-13 03:18:38.576762 UTC
7677ebd38e2dd2597c072a64f9479aa1,XAR4940,69FCYGWHWOSTH0UT0,VOLKSWAGEN,F 1000 SUPER DIESEL / SUPER DIESEL TURBO,1982,40000,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",2026-02-13 03:18:38.576762 UTC
1b87e2bd1c9f0ac4c7fc7b47761df9d4,BWD9820,GQL03BSGXOWISUWFR,FORD,F 4000 TURBO MWM 2P (DIESEL),1980,39223,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",2026-02-13 03:18:38.576762 UTC
446d0b2b814e1bbfe9d93a4378c78847,RKI4549,C88CE8O5NLS8Y3XS8,VOLVO,FH 12 380 4X2 2P (DIESEL),1998,83876,PESADOS,2026-02-13 03:18:38.576762 UTC
b7f4e59db036b044d67bc47d719bb872,EAU7380,DJIIXU9IF8YOHUZER,OUTROS,FUSCA,1975,24078,LEVES,2026-02-13 03:18:38.576762 UTC
1b9ee76b11bee89383c7b5d926bba0b3,FIF6292,22LT6T3RXHQ8NZ97B,VOLKSWAGEN,GOL CLI / CL/ COPA/ STONES 1 6,1996,14266,LEVES,2026-02-13 03:18:38.576762 UTC
cddaa6109e6754569fdefa1ab5a4cc2a,EUN8570,FXEXV7EACSXA0C2AH,VOLKSWAGEN,GOLF 1 6MI/ 1 6MI GENER /BLACK & SILVER,2001,22270,LEVES,2026-02-13 03:18:38.576762 UTC
d90fb0da926fdc8975a955837e9be274,IDY0683,J4L20XJSFIJW7XH3R,HYUNDAI,H100 GLS DIESEL,2001,23410,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",2026-02-13 03:18:38.576762 UTC
c6b9a5cdc740951278e4ee60ea8f19b8,ZZL0899,B2B9KWS3KI8OZTA7Q,FORD,KADETT GLS 1 8 EFI / SL/E 1 8,1994,10519,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",2026-02-13 03:18:38.576762 UTC
1683d238e956f3afc7f00ace1fc85b73,PSE5664,51JP0SQX8WCHRPYQU,MERCEDES BENZ,L 1113 2P (DIESEL),1981,35570,PESADOS,2026-02-13 03:18:38.576762 UTC
a981dcec912c2c9ab32b0f38a9f7cab6,UCG7925,7NUNABJYZEVQYB74T,MERCEDES BENZ,L 1113 2P (DIESEL),1982,36944,PESADOS,2026-02-13 03:18:38.576762 UTC
62d4b9f022df52357c65696b50f28f50,SGS5594,2T27AS1IDSGEDODPV,MERCEDES BENZ,L 1113 2P (DIESEL),1985,41500,PESADOS,2026-02-13 03:18:38.576762 UTC
6144363ff8b55c7a340cc0c39cfc3d20,OYD6649,LZYX19GZRINOVQ0KV,MERCEDES BENZ,L 1113 2P (DIESEL),1985,72313,PESADOS,2026-02-13 03:18:38.576762 UTC
ac5d8c8eb61a88af9e57b2b75ca115b6,JTW8131,F0JBZOO4GURWZMUGQ,MERCEDES BENZ,L 1218 3 EIXOS 2P (DIESEL),1997,114215,PESADOS,2026-02-13 03:18:38.576762 UTC
72659dee8297404055a0b3d187533b3f,WEO8202,I3NSDHUGC881KXHD9,MERCEDES BENZ,L 1313 3 EIXOS 2P (DIESEL),1981,43722,PESADOS,2026-02-13 03:18:38.576762 UTC
78781dfd0be6a4593aa6fa8d49306aa7,FTV9251,VL3TJM2HZDZH4SZKI,MERCEDES BENZ,L 1313 3 EIXOS 2P (DIESEL),1981,43722,PESADOS,2026-02-13 03:18:38.576762 UTC
34a02394d9fb20a1fc0421b5a0634a68,EKL4435,SNSXW9C917IFS1ZTS,MERCEDES BENZ,L 1314 3 EIXOS 2P (DIESEL),1988,60017,PESADOS,2026-02-13 03:18:38.576762 UTC
d5409737a45ff77e7654e549c3444582,RHX0579,YGBOYG8AB4DKH16OP,MERCEDES BENZ,L 1418 3 EIXOS 2P (DIESEL),1995,96294,PESADOS,2026-02-13 03:18:38.576762 UTC
