id_dispositivo,imei,empresa,data_primeira_aparicao,processed_at
c03f1ea661e68593b6435f70c7021053,838751980,AZIMUTE,2026-02-11 17:38:17.983008 UTC,2026-02-12 20:03:19.110299 UTC
e6b559c40892ca42c092569e3bbd0b39,9705492979573080,AZIMUTE,2026-02-05 01:42:11.737363 UTC,2026-02-12 20:03:19.110299 UTC
c832fbcbdfd344469af21c98a3695f08,196272010,AZIMUTE,2026-02-12 17:54:18.965054 UTC,2026-02-12 20:03:19.110299 UTC
e81568dc5b0b131f78f1cd5693042304,933052450,AZIMUTE,2026-02-11 17:35:21.322202 UTC,2026-02-12 20:03:19.110299 UTC
1898d1aefaff0e3ff4b15b42d341526e,239890207909540,AZIMUTE,2026-02-05 01:42:11.737363 UTC,2026-02-12 20:03:19.110299 UTC
059661945710b5d64aa58218dec079bb,1952018796729190,AZIMUTE,2026-02-05 01:42:11.737363 UTC,2026-02-12 20:03:19.110299 UTC
21f84c49fab2709564453fd02b1fabe7,652610130,AZIMUTE,2026-02-12 17:54:18.900874 UTC,2026-02-12 20:03:19.110299 UTC
9f8ff4b7250aa422bb78e6410607249f,305898540,AZIMUTE,2026-02-11 17:38:18.029341 UTC,2026-02-12 20:03:19.110299 UTC
2e4d0890f6a14c476c9fb71eb5ff16bc,581644230,AZIMUTE,2026-02-12 17:54:18.946247 UTC,2026-02-12 20:03:19.110299 UTC
b26bec9684487b28c4471120cbffc309,425459350,AZIMUTE,2026-02-11 17:38:18.009534 UTC,2026-02-12 20:03:19.110299 UTC
fe4daa541bdfca61565c3e13af38afc9,644676990,AZIMUTE,2026-02-11 17:35:21.331929 UTC,2026-02-12 20:03:19.110299 UTC
b91a1d31fe393697e9c93af09875ea9f,315545960,AZIMUTE,2026-02-12 17:54:18.914642 UTC,2026-02-12 20:03:19.110299 UTC
a2f26745f26edf474469e4ca95c05075,151690090,AZIMUTE,2026-02-12 17:54:18.990235 UTC,2026-02-12 20:03:19.110299 UTC
39e295857503bdb40b23ae5c174cc869,370393050,AZIMUTE,2026-02-11 17:38:18.025902 UTC,2026-02-12 20:03:19.110299 UTC
6ee4f33413984768d72ffcfaa1d3c6f3,440540040,AZIMUTE,2026-02-11 17:35:21.316096 UTC,2026-02-12 20:03:19.110299 UTC
d9272a700716dbeec714f258fdc94825,788967300,AZIMUTE,2026-02-11 17:35:21.302891 UTC,2026-02-12 20:03:19.110299 UTC
d62baf213ad42eb3911fed5387c1840f,922422180,AZIMUTE,2026-02-12 17:54:18.922117 UTC,2026-02-12 20:03:19.110299 UTC
721fa8013329d98673907e397f6825c6,377528500,AZIMUTE,2026-02-11 17:38:18.009317 UTC,2026-02-12 20:03:19.110299 UTC
5e350d47dd58bdacebbf82a4cd9cce3c,334371510,AZIMUTE,2026-02-11 17:35:21.319518 UTC,2026-02-12 20:03:19.110299 UTC
e5db8f5b5ef109366d18bbd865069727,355292460,AZIMUTE,2026-02-11 17:35:21.299789 UTC,2026-02-12 20:03:19.110299 UTC
36b64ebaa4c5ea7ed6135bda93d837c9,383168860,AZIMUTE,2026-02-12 17:54:18.959233 UTC,2026-02-12 20:03:19.110299 UTC
fb4b821611cbba2f3737e8938e1eff69,413786270,AZIMUTE,2026-02-11 17:38:18.025033 UTC,2026-02-12 20:03:19.110299 UTC
5d197ba3e60c1b7713e0661793ed5745,830178240,AZIMUTE,2026-02-11 17:35:21.286323 UTC,2026-02-12 20:03:19.110299 UTC
9c3c662e277df5fc78de1dca34e4998d,444533800,AZIMUTE,2026-02-12 17:54:19.043140 UTC,2026-02-12 20:03:19.110299 UTC
f250be59ca9bdc192bdf881f2d3d455a,713144080,AZIMUTE,2026-02-12 17:54:19.045084 UTC,2026-02-12 20:03:19.110299 UTC
2c010c4d51af598cc8f2555f801f5357,792494110,AZIMUTE,2026-02-12 17:54:18.903098 UTC,2026-02-12 20:03:19.110299 UTC
74054daaa17a40b62abc82c2f7cd5f9c,376917280,AZIMUTE,2026-02-11 17:38:17.995687 UTC,2026-02-12 20:03:19.110299 UTC
91b1727832dca415ac139d7f40adf6f1,215943930,AZIMUTE,2026-02-11 17:38:17.990828 UTC,2026-02-12 20:03:19.110299 UTC
685332734f22e4439479113a5f21adec,725461940,AZIMUTE,2026-02-11 17:35:21.277093 UTC,2026-02-12 20:03:19.110299 UTC
b94d90822d2ec93d1bc7fb9f55e2aed8,116261690,AZIMUTE,2026-02-12 17:54:18.978619 UTC,2026-02-12 20:03:19.110299 UTC
1d3524e8f3e248ca531b45f639a224e3,182444050,AZIMUTE,2026-02-11 17:35:21.279855 UTC,2026-02-12 20:03:19.110299 UTC
b5b3e9a2f8b2a54e130d29e369fbf2b6,7450961541399570,AZIMUTE,2026-02-05 01:42:11.737363 UTC,2026-02-12 20:03:19.110299 UTC
062c2fc4bdf0cc5ef8064cd662f15d31,313810830,AZIMUTE,2026-02-12 17:54:18.989732 UTC,2026-02-12 20:03:19.110299 UTC
e412f60758dfe26273736afa5c58fbca,818881790,AZIMUTE,2026-02-12 17:54:19.026550 UTC,2026-02-12 20:03:19.110299 UTC
fe0bbab0e60d1f864c023861167f0637,108920120,AZIMUTE,2026-02-11 17:38:18.014888 UTC,2026-02-12 20:03:19.110299 UTC
6594737d43ccc035493806fb24840a0f,875641300,AZIMUTE,2026-02-12 17:54:19.057393 UTC,2026-02-12 20:03:19.110299 UTC
524872af0397dcbfff2d3659ea2e4e2e,704532440,AZIMUTE,2026-02-12 17:54:18.944420 UTC,2026-02-12 20:03:19.110299 UTC
c7871a8e8a359c70668e9de6cd2c6b5b,874034000,AZIMUTE,2026-02-12 17:54:18.972619 UTC,2026-02-12 20:03:19.110299 UTC
f8d7cfe41b01dfd83c377c783cc166f7,1092520548943190,AZIMUTE,2026-02-05 01:42:11.737363 UTC,2026-02-12 20:03:19.110299 UTC
a8906c28a2ad64d9813601caf0d43ae7,427627520,AZIMUTE,2026-02-12 17:54:18.945986 UTC,2026-02-12 20:03:19.110299 UTC
e883ac28eadbe5605af5e11d096a21f2,694121450,AZIMUTE,2026-02-11 17:35:21.278609 UTC,2026-02-12 20:03:19.110299 UTC
a3cdbb6c97bb3b0d983c5f6a2353ce9c,5140010,AZIMUTE,2026-02-11 17:34:11.169259 UTC,2026-02-12 20:03:19.110299 UTC
9c6a9709916aa6a417314fe36402b389,144494050,AZIMUTE,2026-02-12 17:54:19.056198 UTC,2026-02-12 20:03:19.110299 UTC
ba88702aa59af7ed464d7bfd89f58084,544121280,AZIMUTE,2026-02-12 17:54:18.958119 UTC,2026-02-12 20:03:19.110299 UTC
11535e21030b3c083b6d603995a52051,454573740,AZIMUTE,2026-02-11 17:38:18.041280 UTC,2026-02-12 20:03:19.110299 UTC
80e55409b2276a1669f34cb6a604ec7f,339017040,AZIMUTE,2026-02-12 17:54:18.922744 UTC,2026-02-12 20:03:19.110299 UTC
27424224fa612be943e915f1963bd999,386462500,AZIMUTE,2026-02-11 17:35:21.314023 UTC,2026-02-12 20:03:19.110299 UTC
0f7c4f4f9e218f1d91cce16d04c3d38a,182702480,AZIMUTE,2026-02-11 17:38:18.026723 UTC,2026-02-12 20:03:19.110299 UTC
5544b881954986c655fb6ff9b1077d07,714621560,AZIMUTE,2026-02-11 17:35:21.276421 UTC,2026-02-12 20:03:19.110299 UTC
30897776ab54ee4bf3da945a170f8e40,7785612304206340,AZIMUTE,2026-02-05 01:42:11.737363 UTC,2026-02-12 20:03:19.110299 UTC
43254ce913f08cd7c8855a4b703ec200,159389390,AZIMUTE,2026-02-11 17:35:21.319003 UTC,2026-02-12 20:03:19.110299 UTC
50d147d646133c2269aac270822bb41d,6728535441157210,AZIMUTE,2026-02-05 01:42:11.737363 UTC,2026-02-12 20:03:19.110299 UTC
aab7134e365d1f022afb5affdd80c42b,9071212949940420,SIGASUL,2026-02-05 01:42:11.737363 UTC,2026-02-12 20:03:19.110299 UTC
efbb1e69fd6cb510d0c483b765e21889,889960800,AZIMUTE,2026-02-11 17:38:18.039398 UTC,2026-02-12 20:03:19.110299 UTC
59b6060a58083500aebe26dfdae04a12,445702290,AZIMUTE,2026-02-12 17:54:19.043600 UTC,2026-02-12 20:03:19.110299 UTC
86f2cd8018403b85bfe80f75f3a727ca,2919630,AZIMUTE,2026-02-11 17:34:11.172572 UTC,2026-02-12 20:03:19.110299 UTC
05732cae105fa4585c00b7f566679acc,998811800,AZIMUTE,2026-02-11 17:35:21.283921 UTC,2026-02-12 20:03:19.110299 UTC
c1fb1d42ef59df59cb110533518c5865,412622940,AZIMUTE,2026-02-12 17:54:18.923121 UTC,2026-02-12 20:03:19.110299 UTC
4c08d9fa447e729bb83c20b1f4edf62b,438784010,AZIMUTE,2026-02-11 17:35:21.322108 UTC,2026-02-12 20:03:19.110299 UTC
1082b8f2961093cc8214920fa599240f,816304980,AZIMUTE,2026-02-11 17:38:18.027998 UTC,2026-02-12 20:03:19.110299 UTC
f2ffb169f206775ecafb7ec36d60fec1,218705750,AZIMUTE,2026-02-11 17:38:18.033143 UTC,2026-02-12 20:03:19.110299 UTC
bfd807105c77b7eff099d3f782807f41,839011010,AZIMUTE,2026-02-12 17:54:18.919320 UTC,2026-02-12 20:03:19.110299 UTC
ae9b1a681122d89ed349b8cf743ba19b,931534530,AZIMUTE,2026-02-11 17:35:21.303213 UTC,2026-02-12 20:03:19.110299 UTC
720c77e37da77dd2814d61728c24459b,290661010,AZIMUTE,2026-02-12 17:54:19.046086 UTC,2026-02-12 20:03:19.110299 UTC
7cd3a98a4093086cb16fef802682c772,928220400,AZIMUTE,2026-02-11 17:35:21.307969 UTC,2026-02-12 20:03:19.110299 UTC
